"e-folds N","cal(P)_zeta k=7.34e+03","cal(P)_zeta k=8.05e+06","max u_ij k=7.34e+03","max u_ij k=8.05e+06","max u_ijk k_t=22026.5","max u_ijk k_t=2.4155e+07","H"
2.0832000000000001e+01,5.5784498082034925e-11,2.3196483421424021e-08,8.9605822935489385e+01,7.8904915889769018e+02,1.6363676861986358e+05,1.6359651335890184e+05,8.0440133454505461e-06
2.0887999999999998e+01,5.5781401780198448e-11,2.0629088170325227e-08,8.9502423988888765e+01,7.1657617897829471e+02,1.6283591781760045e+05,1.6279902524477942e+05,8.0328424206263687e-06
2.0943999999999999e+01,5.5778627699638302e-11,1.8345597352711942e-08,8.9389377683730700e+01,6.5159004297348895e+02,1.6200972977496189e+05,1.6197593023388626e+05,8.0216256610305120e-06
2.1000000000000000e+01,5.5776142258805520e-11,1.6314983139432289e-08,8.9266586224786494e+01,5.9331331625218900e+02,1.6115824209367944e+05,1.6112728616813492e+05,8.0103626290225127e-06
2.1056000000000001e+01,5.5773915379478143e-11,1.4508712615631448e-08,8.9133952217055239e+01,5.4104924495743091e+02,1.6028150214344842e+05,1.6025315931507348e+05,7.9990528803913084e-06
2.1112000000000002e+01,5.5771920121998738e-11,1.2902717122344622e-08,8.8991378696961874e+01,4.9417337499317676e+02,1.5937956724939926e+05,1.5935362462026594e+05,7.9876959642204056e-06
2.1167999999999999e+01,5.5770132358631506e-11,1.1474324592227005e-08,8.8838769165464655e+01,4.5212604231539387e+02,1.5845250487996300e+05,1.5842876596064473e+05,7.9762914227495723e-06
2.1224000000000000e+01,5.5768530480598052e-11,1.0204037951712452e-08,8.8676027624076951e+01,4.1440564388148806e+02,1.5750039283539841e+05,1.5747867639832382e+05,7.9648387912328724e-06
2.1280000000000001e+01,5.5767095135040823e-11,9.0746304457819999e-09,8.8503058612632643e+01,3.8056260804688844e+02,1.5652331943647985e+05,1.5650345843374159e+05,7.9533375977929860e-06
2.1335999999999999e+01,5.5765808988813600e-11,8.0702167611944396e-09,8.8319767248719259e+01,3.5019399165239435e+02,1.5552138371322019e+05,1.5550322425750957e+05,7.9417873632716553e-06
2.1391999999999999e+01,5.5764656516534907e-11,7.1770266611584164e-09,8.8126059269880272e+01,3.2293863862037915e+02,1.5449469559391006e+05,1.5447809600085847e+05,7.9301876010761467e-06
2.1448000000000000e+01,5.5763623810712727e-11,6.3829232156372484e-09,8.7921841077455724e+01,2.9847284166014379e+02,1.5344337609396284e+05,1.5342820598387351e+05,7.9185378170216010e-06
2.1504000000000001e+01,5.5762698411970405e-11,5.6768501210248710e-09,8.7707019782947469e+01,2.7650645476252004e+02,1.5236755750475090e+05,1.5235369696148526e+05,7.9068375091691379e-06
2.1560000000000002e+01,5.5761869157492548e-11,5.0489899361174546e-09,8.7481503256141025e+01,2.5677940960712783e+02,1.5126738358203624e+05,1.5125472236666482e+05,7.8950861676595722e-06
2.1616000000000000e+01,5.5761126045840282e-11,4.4907448862447913e-09,8.7245200175507151e+01,2.3905859388482904e+02,1.5014300973403844e+05,1.5013144655076574e+05,7.8832832745425920e-06
2.1672000000000001e+01,5.5760460116314839e-11,3.9944527977382645e-09,8.6998020081360991e+01,2.2313505390784985e+02,1.4899460320915462e+05,1.4898404502097188e+05,7.8714283036012642e-06
2.1728000000000002e+01,5.5759863341127929e-11,3.5532298716224595e-09,8.6739873430446636e+01,2.0882148779321969e+02,1.4782234328271868e+05,1.4781270467421948e+05,7.8595207201717059e-06
2.1783999999999999e+01,5.5759328528790318e-11,3.1609464145802044e-09,8.6470671653815245e+01,1.9594999901570731e+02,1.4662642144327270e+05,1.4661762402807758e+05,7.8475599809577437e-06
2.1840000000000000e+01,5.5758849237344766e-11,2.8121801661187832e-09,8.6190327215726640e+01,1.8437008326456473e+02,1.4540704157740477e+05,1.4539901344767577e+05,7.8355455338404088e-06
2.1896000000000001e+01,5.5758419696316124e-11,2.5021238236702671e-09,8.5898753677162730e+01,1.7394682435937310e+02,1.4416442015418384e+05,1.4415709536976402e+05,7.8234768176821070e-06
2.1952000000000002e+01,5.5758034736488820e-11,2.2264965679079588e-09,8.5595865759363804e+01,1.6455927749419564e+02,1.4289878640744774e+05,1.4289210452222938e+05,7.8113532621252308e-06
2.2008000000000003e+01,5.5757689726811370e-11,1.9814813006803259e-09,8.5281579411999971e+01,1.5609902034806944e+02,1.4161038251729569e+05,1.4160428814050104e+05,7.7991742873850944e-06
2.2064000000000000e+01,5.5757380517849000e-11,1.7636784722658490e-09,8.4955811883091528e+01,1.4846885461678326e+02,1.4029946378959841e+05,1.4029390617974557e+05,7.7869393040369283e-06
2.2120000000000001e+01,5.5757103391254664e-11,1.5700651376160752e-09,8.4618481791650296e+01,1.4158164233850459e+02,1.3896629883362961e+05,1.3896123152304936e+05,7.7746477127967602e-06
2.2176000000000002e+01,5.5756855014727231e-11,1.3979556409870234e-09,8.4269509203913415e+01,1.3535926301074164e+02,1.3761116973787118e+05,1.3760655018573950e+05,7.7622989042959961e-06
2.2231999999999999e+01,5.5756632401898972e-11,1.2449644274959778e-09,8.3908815712114261e+01,1.2973167895011485e+02,1.3623437224338911e+05,1.3623016151533951e+05,7.7498922588494146e-06
2.2288000000000000e+01,5.5756432876579165e-11,1.1089717982050312e-09,8.3536324515768854e+01,1.2463609765190826e+02,1.3483621591452177e+05,1.3483237838700166e+05,7.7374271462163761e-06
2.2344000000000001e+01,5.5756254040791203e-11,9.8809303151863174e-10,8.3151960507700579e+01,1.2001622107735353e+02,1.3341702430733113e+05,1.3341352739496710e+05,7.7249029253550481e-06
2.2400000000000002e+01,5.5756093746094705e-11,8.8065120077070374e-10,8.2755650361984920e+01,1.1582157283870814e+02,1.3197713513460683e+05,1.3197394903894165e+05,7.7123189441693032e-06
2.2456000000000003e+01,5.5755950067765755e-11,7.8515381447179437e-10,8.2347322625851874e+01,1.1200689519528949e+02,1.3051690042779419e+05,1.3051399790585466e+05,7.6996745392481258e-06
2.2512000000000000e+01,5.5755821281507426e-11,7.0027288117537103e-10,8.1926907815656335e+01,1.0853160861233924e+02,1.2903668669555786e+05,1.2903404284680627e+05,7.6869690355971674e-06
2.2568000000000001e+01,5.5755705842452149e-11,6.2482753639286367e-10,8.1494338515844234e+01,1.0535932738662585e+02,1.2753687507831026e+05,1.2753446714862264e+05,7.6742017463622306e-06
2.2624000000000002e+01,5.5755602366282804e-11,5.5776837020302725e-10,8.1049549482374502e+01,1.0245742552011545e+02,1.2601786149882661e+05,1.2601566870022725e+05,7.6613719725443614e-06
2.2680000000000000e+01,5.5755509612331773e-11,4.9816300809895039e-10,8.0592477750389691e+01,9.9796647626073010e+01,1.2448005680851366e+05,1.2447806015347943e+05,7.6484790027062285e-06
2.2736000000000001e+01,5.5755426468516701e-11,4.4518293223487092e-10,8.0123062745056316e+01,9.7350760192919864e+01,1.2292388692861480e+05,1.2292206907784088e+05,7.6355221126694836e-06
2.2791999999999998e+01,5.5755351937952583e-11,3.9809168626980369e-10,7.9641246398074657e+01,9.5096239020246770e+01,1.2134979298674178e+05,1.2134813810933712e+05,7.6225005652027574e-06
2.2847999999999999e+01,5.5755285127057607e-11,3.5623450053681851e-10,7.9146973268435218e+01,9.3011989072478670e+01,1.1975823144786194e+05,1.1975672509301295e+05,7.6094136096999500e-06
2.2904000000000000e+01,5.5755225234954669e-11,3.1902920722884184e-10,7.8640190667563033e+01,9.1079093387059004e+01,1.1814967423935331e+05,1.1814830321856268e+05,7.5962604818484243e-06
2.2959999999999997e+01,5.5755171543979685e-11,2.8595823848692441e-10,7.8120848789811433e+01,8.9280588024119027e+01,1.1652460886996667e+05,1.1652336114903743e+05,7.5830404032867505e-06
2.3015999999999998e+01,5.5755123411132028e-11,2.5656152156032598e-10,7.7588900848434264e+01,8.7601260356750657e+01,1.1488353854225029e+05,1.1488240314224534e+05,7.5697525812515635e-06
2.3071999999999999e+01,5.5755080260341604e-11,2.3043013910055260e-10,7.7044303216703923e+01,8.6027468280992622e+01,1.1322698225783060e+05,1.1322594916429411e+05,7.5563962082131533e-06
2.3128000000000000e+01,5.5755041575468838e-11,2.0720066338812125e-10,7.6487015574361791e+01,8.4546978176466808e+01,1.1155547491508254e+05,1.1155453499486242e+05,7.5429704614993148e-06
2.3183999999999997e+01,5.5755006893987217e-11,1.8655009689883950e-10,7.5917001061572890e+01,8.3148819675786797e+01,1.0986956739928207e+05,1.0986871232434202e+05,7.5294745029070187e-06
2.3239999999999998e+01,5.5754975801314511e-11,1.6819136660682525e-10,7.5334226436842300e+01,8.1823155496943002e+01,1.0816982666360175e+05,1.0816904884125765e+05,7.5159074783014181e-06
